high,YLCAWPKUTKLSBRFG,M,198922020611
kinder,IWHDJKKYDIDQKBEVHLOE,M,1985225173647
elementary,NOBDSSEKRKVZ,M,199937114611
high,SYIGHOQPRMZDFXWNT,F,19858120139
elementary,NUJXZRSMHSMKAGGKG,F,1982213171916
high,CIOOHYIIPRGIK,F,1981127185728
high,VAGHKULQWTGXHTH,M,200272319311
high,UABEHSEB,F,200491135135
high,CBUQUODLIGQQFGJW,F,19811130132041
kinder,VDWYPTFZRRKZQBFHXNTV,M,198571923457
elementary,CYLZCKJEKIMYMV,F,198762033327
kinder,CHOEKYOIGKXBDGHRRHFYX,M,1990829181739
kinder,FZKCUWSNEBKOQHGZIR,F,1983831192413
high,XWCRJ,M,1986421143123
kinder,YTFXHSRG,M,19801123164938
high,USJZXPBLYRYK,F,198632121435
high,WRJQAU,F,199011515217
elementary,PSOCNIXIMNFDMKLGUW,F,1995101551537
kinder,RUXWMJHV,M,2002611245339
elementary,OYJPUQKSFVOSGQUYHLF,M,1987416193428
high,FMJGZGQIJ,F,19978212142
elementary,JPAWDIJRSQBCNN,M,199924122937
kinder,XHPTNRTSCRCMZE,F,1983111815929
kinder,DPIIIRFJZF,M,200289213944
high,YPSSILIJDXSNA,F,199172822385
high,OUPNPELIVGOYSZXDDQKTHCY,M,19936812829
elementary,FGCUWCLENF,M,19861081486
elementary,VZYBYICBDSDNGHVIBSBYPB,F,19875145442
elementary,GMZTGHVEABUWXJ,M,200193062049
kinder,EZGSXKHSYJAZMEKINAR,F,199798234523
elementary,AXCXVOYIT,F,200461413111
kinder,ZSSQOYMNDIDMJFXPAMTZWHP,M,199833153438
elementary,DRCESVBWKPOKVISZTWSYKNGY,M,19804162123
high,YWSYNGTALCQZOLQEVS,F,20048177929
elementary,GJVUODKZUKHH,F,199928165551
kinder,LHHGPHWZOIVUEE,M,198648245214
kinder,KCWWUFMDXVPGIZQQGORSRA,F,1993822663
elementary,RKUQAYXHUKEVR,M,19944414919
kinder,YDNWMBQ,M,19863237857
high,ISCDXLDOSMJECAZFM,F,198652131315
high,MRARYZPSUBQZDW,F,1982111891138
elementary,XTDSWQQGLF,F,198012973018
elementary,JGNGPTNMBQJZMINGSRTR,M,199711824118
kinder,BEXPXMVRUTTHCLKZO,F,1992925141957
elementary,TAIIFYUKWZRF,F,19869415928
elementary,WGAKVAOVFCXXFLSZDQJD,M,19804812546
kinder,PBXLWDPEHTB,F,200515165750
kinder,VLQOF,F,198473021626
kinder,NDHCESPTVPBMPY,M,19963181451
elementary,DXPMREXCEUHJLBHHNGZD,F,1982322184856
elementary,LGSIJQD,M,198393124211
kinder,VHJLBXCLNNSTVH,M,1993113032326
elementary,COKDYPXKFSTHEX,M,19913239510
kinder,TDNOTKDGDAOYQMXQMV,F,1995618165631
elementary,LSNWEXDNGWQGYQI,M,1997529214530
kinder,RXJIJBVU,M,199971114421
high,NPDERPMWZXGNMBBESOTEULG,F,2005225221835
elementary,PXOAICGQUXTPWAUAM,F,198263112151
kinder,IQOBQERTESGWNKGELWLB,F,2000531111649
high,PMIMAJNKPWEYUTN,M,1994313113852
elementary,OXOSP,M,1988212162218
high,HXYWO,F,19958113657
kinder,ZWATN,M,1991710105413
elementary,TAJAVXLZDZCPARBNGBGQ,M,19873813449
kinder,KKKVPCNPGVCT,F,2001112762935
kinder,IMBWOXNUEMIYLYXVQP,F,198031114032
kinder,OSDIJDWHSAESFCUHHI,F,19992224853
kinder,XSPSUEFKVVTH,F,19885714619
high,GPVZMWDORM,F,200186142255
elementary,ALFWWMGPVDU,F,198562445329
kinder,AUATOFYROSXQXQAONUABU,M,20031025151853
kinder,UALMIDDSATPOXRISJTAT,M,199472081047
high,DRVSTREWFSKHMILMOZPEIYSH,M,199152591423
high,DXKTQMXYOIIJWI,M,200081231837
elementary,RPYIIELFTBSJIE,M,1990527234351
high,NVEVYHZPPDQFWMGXDU,M,199992932432
kinder,MPEPLVJFBCHTN,F,19801025182659
kinder,EWBDNNDD,M,1992720165655
kinder,GCQJRJHNRW,M,198811531833
high,GPRXCXJMJVNHOIGIJKXBYOM,F,19821196229
elementary,OKGBMPIOOVJRLSGEODIADFML,M,1998316104831
kinder,TYXRJTIAWCPRHUJIB,F,198422522421
high,ATGJRL,M,1983824202514
kinder,XGNXZGEIQ,F,19923119416
kinder,KHUHVWNSGN,M,19872127568
elementary,BQEHEH,M,2004105225732
kinder,TCIOVUQDSPBYDDFCUUVBGXJ,M,19987334421
high,EHTXRAPP,M,19966312957
elementary,QOCTJZNOLC,M,200242612542
kinder,CJFJL,M,1997119134724
high,ZUWTS,M,1991414195457
high,UBEFRXPHVXMYQIQWA,F,1995912144010
kinder,SMQHCIPURBA,M,199882034827
high,CZPYSMNFTWEVUAELDGNHBXIV,M,2000102719462
high,BRDMM,F,1995415111854
elementary,BUZICMZYLNOTXJCCWZMGO,F,1994101910951
high,ITHDNCOGX,F,199761204646
elementary,CREAI,F,1986422221548
high,CAKTICCRARN,M,200373192148
high,XIABXLENNLZKQPNWKSJZKPT,F,2004111312527
high,CYQYDJAFF,M,2001213112044
